kod_subjekt,kod_iso,nazev
INV,DE,INVACARE GmbH
B30,CZ,VH Pharma a.s.
B47,GB,Gordon Ellis & Co.
A19,CZ,Hilding Anders Česká republika a.s.
B52,MY,BACTIGUARD (SOUTH EAST ASIA) SDN. BHD.
B54,US,"Smiths Medical ASD, Inc."
B46,CH,SWISSLASTIC AG. ST. GALLEN
B70,CN,"Shenzhen SunnyGrand Healthcare Technology Co.,Ltd."
B71,SK,Diawin s.r.o.
B69,CN,"SHANGHAI HAOZHENG METAL PRODUCT CO., LTD"
B36,CN,Changsha Sinocare Inc.
B58,FR,INVACARE FRANCE OPERATIONS S.A.S.
B75,SK,Trinity Healthcare Group a.s.
B68,CN,"Ningbo Medsun Medical Co., Ltd."
B76,US,embecta Medical II LLC
B38,US,Philips RS North America LLC
B24,IE,OSTOFORM LIMITED
B62,KR,"i-SENS, Inc."
338,TR,İstem Medikal Tibbi Cihaz ve San. Tic. Ltd. Sti.
B64,DE,Streifeneder ortho.production GmbH
B77,TW,"E-life International Co.,Ltd."
B39,ES,Farmaban SA
IDS,ES,"Laboratorios Indas, SAU"
B55,GB,Novamed Europe Ltd
B72,SG,HIPPO MEDICAL PTE. LTD.
B73,DE,Solventum Germany GmbH
B78,CH,B. Braun Medical AG
B43,CN,"Beijing Synapsor Artificial Intelligence Co., Ltd."
B48,CN,"Zhongshan A&J Medical Equipment Co., Ltd."
B49,CN,A & I Industries Ltd Shunde Foshan
B51,CN,"Zhongshan A&E Machinery Industry Co., Ltd."
B60,CN,"SHANGAI BANGBANG ROBOTICS CO.,LTD."
B56,CN,"FOSHAN OSCAR MEDICAL INSTRUMENT CO., LTD"
B57,DE,Funke Medical GmbH
B79,PT,"Invacare Portugal, Lda"
456,CH,Advanced Bionics AG
B05,CN,"Foshan HongFeng Co.,Ltd"
B06,CN,"Sunshine Healthcare Co., Ltd."
B63,DE,W. Pelz GmbH & Co. KG
B65,IT,Welcare Industries S.p.A.
B84,CN,"Huizhou Foryou Medical Devices Co., Ltd."
B40,PL,Reha-bed sp. z o.o.
B66,CN,"Jiangsu Konsung Bio-Medical Science And Technology Co., Ltd."
B67,DE,Alber GmbH
B34,CN,"Shenzhen SiSensing Co., Ltd."
BIS,DE,BITMOS GMBH
MTB,PL,MTB POLAND SP.Z O.O.
B59,IT,Labomar S.p.A.
B85,GB,The Helping hand company
