ObdobÌ;Typ hl·öenÌ;ATC7;KÛd S⁄KL;N·zev p¯Ìpravku;DoplnÏk n·zvu;Drûitel registraËnÌho rozhodnutÌ;ZemÏ;Typ pohybu;PoËet balenÌ;PoËet definovan˝ch dennÌch d·vek/balenÌ;Zp˘sob v˝deje;Hrazeno
2020.05;Distributor;A10AB05;219222;FIASP;100U/ML INJ SOL 5X3ML ZVL;NOO;DK;D;2528;37,5;R;Ano
2020.05;Distributor;A10AB05;26786;NOVORAPID;100U/ML INJ SOL 1X10ML;NOO;DK;D;7880;25;R;Ano
2020.05;Distributor;A10AB05;26794;NOVORAPID FLEXPEN;100U/ML INJ SOL 5X3ML;NOO;DK;D;21636;37,5;R;Ano
2020.05;Distributor;A10AB05;26789;NOVORAPID PENFILL;100U/ML INJ SOL 5X3ML;NOO;DK;D;11801;37,5;R;Ano
2020.05;Distributor;A10AB05;194986;NOVORAPID PUMPCART;100U/ML INJ SOL 5X1,6ML;NOO;DK;D;3057;20;R;Ano
2020.05;Distributor;A10AB06;28283;APIDRA;100U/ML INJ SOL VIA 1X10ML;SDN;D;D;65;25;R;Ano
2020.05;Distributor;A10AB06;27960;APIDRA SOLOSTAR;100U/ML INJ SOL PEP 5X3ML;SDN;D;D;1000;37,5;R;Ano
2020.05;Distributor;A10AC01;214337;HUMULIN N;100IU/ML INJ SUS 1X10ML;ELR;CZ;D;2999;25;R;Ne
2020.05;Distributor;A10AC01;219874;HUMULIN N (NPH) KWIKPEN;100IU/ML INJ SUS PEP 10(2X5)X3ML;ELR;CZ;D;1077;75;R;Ano
2020.05;Distributor;A10AC01;25677;INSULATARD PENFILL;100IU/ML INJ SUS 5X3ML;NOO;DK;D;2553;37,5;R;Ano
2020.05;Distributor;A10AD01;219869;HUMULIN M3 (30/70) CARTRIDGE;100IU/ML INJ SUS ZVL 5X3ML;ELR;CZ;D;24010;37,5;R;Ano
2020.05;Distributor;A10AD01;219871;HUMULIN M3 (30/70) KWIKPEN;100IU/ML INJ SUS PEP 10(2X5)X3ML;ELR;CZ;D;999;75;R;Ano
2020.05;Distributor;A10AD01;26602;MIXTARD 30 PENFILL;100IU/ML INJ SUS 5X3ML;NOO;DK;D;1719;37,5;R;Ano
2020.05;Distributor;A10AD05;26767;NOVOMIX 30 FLEXPEN;100U/ML INJ SUS 5X3ML;NOO;DK;D;10123;37,5;R;Ano
2020.05;Distributor;A10AD05;26762;NOVOMIX 30 PENFILL;100U/ML INJ SUS 5X3ML;NOO;DK;D;3818;37,5;R;Ano
2020.05;Distributor;A10AD06;193815;RYZODEG;100U/ML INJ SOL PEP 5X3ML;NOO;DK;D;945;37,5;R;Ano
2020.05;Distributor;A10AD06;193817;RYZODEG;100U/ML INJ SOL ZVL 5X3ML;NOO;DK;D;90;37,5;R;Ano
2020.05;Distributor;A10AE04;209087;ABASAGLAR;100U/ML INJ SOL PEP 5X3ML II;LIY;NL;D;1765;37,5;R;Ano
2020.05;Distributor;A10AE04;27506;LANTUS;100U/ML INJ SOL 5X3ML;SDN;D;D;3440;37,5;R;Ano
2020.05;Distributor;A10AE04;27953;LANTUS SOLOSTAR;100U/ML INJ SOL 5X3ML;SDN;D;D;20880;37,5;R;Ano
2020.05;Distributor;A10AE04;210402;TOUJEO;300U/ML INJ SOL 3X1,5ML;SDN;D;D;34500;33,75;R;Ano
2020.05;Distributor;A10AE04;238384;TOUJEO;300U/ML INJ SOL 3X3ML;SDN;D;D;4200;67,5;R;Ano
2020.05;Distributor;A10AE05;28151;LEVEMIR FLEXPEN;100U/ML INJ SOL 5X3ML;NOO;DK;D;9238;37,5;R;Ano
2020.05;Distributor;A10AE05;28148;LEVEMIR PENFILL;100U/ML INJ SOL 5X3ML;NOO;DK;D;5271;37,5;R;Ano
2020.05;Distributor;A10AE06;193822;TRESIBA;100U/ML INJ SOL 5X3ML;NOO;DK;D;1628;37,5;R;Ano
2020.05;Distributor;A10AE06;193826;TRESIBA;200U/ML INJ SOL 3X3ML;NOO;DK;D;22855;45;R;Ano
2020.05;Distributor;A10AE56;210190;XULTOPHY;100U/ML+3,6MG/ML INJ SOL 3X3ML;NOO;DK;D;14030;22,5;R;Ano
2020.05;Distributor;A10BA02;152147;GLUCOPHAGE XR;1000MG TBL PRO 60;MSJ;F;D;42613;30;R;Ano
2020.05;Distributor;A10BA02;23747;GLUCOPHAGE XR;500MG TBL PRO 60;MSJ;F;D;32460;15;R;Ano
2020.05;Distributor;A10BA02;152143;GLUCOPHAGE XR;750MG TBL PRO 30 II;MSJ;F;D;20233;11,25;R;Ano
2020.05;Distributor;A10BA02;127089;METFOGAMMA;1000MG TBL FLM 120;WGP;D;D;288;60;R;Ano
2020.05;Distributor;A10BA02;32784;METFOGAMMA 850;850MG TBL FLM 120;WGP;D;D;408;51;R;Ano
2020.05;Distributor;A10BA02;32783;METFOGAMMA 850;850MG TBL FLM 30;WGP;D;D;100;12,75;R;Ano
2020.05;Distributor;A10BA02;117258;METFORMIN TEVA XR;500MG TBL PRO 60 I;TPP;CZ;D;33690;15;R;Ano
2020.05;Distributor;A10BA02;208204;SIOFOR;500MG TBL FLM 60 II;BBE;D;D;40216;15;R;Ano
2020.05;Distributor;A10BA02;227179;SIOFOR PROLONG;1000MG TBL PRO 60;BBE;D;D;21478;30;R;Ano
