ATC;NT;NAZEV;NAZEV_EN
J07AL52;N;PNEUMOCOCCUS, PURIFIKOVAN… POLYSACHARIDOV… ANTIGENY A HAEMOPHILUS INFLUENZAE, KONJUGOVAN¡ VAKCÕNA;PNEUMOCOCCUS PURIFIED POLYSACCHARIDES ANTIGEN AND HAEMOPHILUS INFLUENZAE, CONJUGATED
J07AM;N;VAKCÕNY PROTI TETANU;TETANUS VACCINES
J07AM01;N;TETANOV› TOXOID;TETANUS TOXOID
J07AM51;N;TETANOV› TOXOID, KOMBINACE S DIFTERICK›M TOXOIDEM;TETANUS TOXOID, COMBINATIONS WITH DIPHTHERIA TOXOID
J07AM52;N;TETANOV› TOXOID, KOMBINACE S IMUNOGLOBULINEM PROTI TETANU;TETANUS TOXOID, COMBINATIONS WITH TETANUS IMMUNOGLOBULIN
J07AN;N;VAKCÕNY PROTI TUBERKUL”ZE;TUBERCULOSIS VACCINES
J07AN01;N;TUBERKUL”ZA, éIV¡ ATENUOVAN¡ VAKCÕNA;TUBERCULOSIS, LIVE ATTENUATED
J07AP;N;VAKCÕNY PROTI BÿIäNÕMU TYFU;TYPHOID VACCINES
J07AP01;N;BÿIäNÕ TYFUS, PEROR¡LNÕ éIV¡ ATENUOVAN¡ VAKCÕNA;TYPHOID, ORAL, LIVE ATTENUATED
J07AP02;N;BÿIäNÕ TYFUS, INAKTIVOVAN¡ CELOBUNÃ»N¡ VAKCÕNA;TYPHOID, INACTIVATED, WHOLE CELL
J07AP03;N;BÿIäNÕ TYFUS, PURIFIKOVAN› POLYSACHARIDOV› ANTIGEN;TYPHOID, PURIFIED POLYSACCHARIDE ANTIGEN
J07AP10;N;BÿIäNÕ TYFUS, KOMBINACE S PARATYFEM;TYPHOID, COMBINATIONS WITH PARATYPHI TYPES
J07AR;N;VAKCÕNY PROTI SKVRNIT…MU TYFU;TYPHUS (EXANTHEMATICUS) VACCINES
J07AR01;N;SKVRNIT› TYFUS, INAKTIVOVAN¡ CELOBUNÃ»N¡ VAKCÕNA;TYPHUS EXANTHEMATICUS, INACTIVATED, WHOLE CELL
J07AX;N;JIN… BAKTERI¡LNÕ VAKCÕNY;OTHER BACTERIAL VACCINES
J07AX01;N;VAKCÕNY PROTI LEPTOSPIR”ZE;LEPTOSPIRA VACCINES
J07B;N;VIROV… VAKCÕNY;VIRAL VACCINES
J07BA;N;VAKCÕNA PROTI VIROV… ENCEFALITIDÃ;ENCEPHALITIS VACCINES
J07BA01;N;KLÕäçOV¡ ENCEFALITIDA, INAKTIVOVAN› CEL› VIRUS;ENCEPHALITIS, TICK BORNE, INACTIVATED, WHOLE VIRUS
J07BA02;N;JAPONSK¡ ENCEFALITIDA, INAKTIVOVAN› CEL› VIRUS;ENCEPHALITIS, JAPANESE, INACTIVATED, WHOLE VIRUS
J07BA03;N;JAPONSK¡ ENCEFALITIDA, éIV› ATENUOVAN› VIRUS;ENCEPHALITIS, JAPANESE, LIVE ATTENUATED
J07BB;N;VAKCÕNY PROTI CHÿIPCE;INFLUENZA VACCINES
J07BB01;N;CHÿIPKA, INAKTIVOVAN› CEL› VIRUS;INFLUENZA, INACTIVATED, WHOLE VIRUS
J07BB02;N;CHÿIPKA, INAKTIVOVAN¡ VAKCÕNA, äTÃPEN› VIRUS NEBO POVRCHOV› ANTIGEN;INFLUENZA, INACTIVATED, SPLIT VIRUS OR SURFACE ANTIGEN
J07BB03;N;CHÿIPKA, éIV› ATENUOVAN› VIRUS;INFLUENZA, LIVE ATTENUATED
J07BB04;N;CHÿIPKA, VIRU PODOBN… »¡STICE;INFLUENZA, VIRUS LIKE PARTICLES
J07BB05;N;CHÿIPKA, RNA VAKCÕNA;INFLUENZA, RNA-BASED VACCINE
J07BB55;N;CHÿIPKA A COVID-19, RNA VAKCÕNA;INFLUENZA AND COVID-19, RNA-BASED VACCINE
J07BC;N;VAKCÕNY PROTI HEPATITIDÃ;HEPATITIS VACCINES
J07BC01;N;HEPATITIDA B, PURIFIKOVAN› ANTIGEN;HEPATITIS B, PURIFIED ANTIGEN
J07BC02;N;HEPATITIDA A, INAKTIVOVAN› CEL› VIRUS;HEPATITIS A, INACTIVATED, WHOLE VIRUS
J07BC20;N;KOMBINACE VAKCÕN PROTI HEPATITIDÃ;COMBINATIONS
J07BD;N;VAKCÕNY PROTI SPALNI»K¡M;MEASLES VACCINES
J07BD01;N;SPALNI»KY, éIV› ATENUOVAN› VIRUS;MEASLES, LIVE ATTENUATED
J07BD51;N;SPALNI»KY, KOMBINACE S PÿÕUäNICEMI, éIV¡ ATENUOVAN¡ VAKCÕNA;MEASLES, COMBINATIONS WITH MUMPS, LIVE ATTENUATED
J07BD52;N;SPALNI»KY-PÿÕUäNICE-ZARDÃNKY, éIV¡ ATENUOVAN¡ VAKCÕNA;MEASLES, COMBINATIONS WITH MUMPS AND RUBELLA, LIVE ATTENUATED
J07BD53;N;SPALNI»KY, KOMBINACE SE ZARDÃNKAMI, éIV¡ ATENUOVAN¡ VAKCÕNA;MEASLES, COMBINATIONS WITH RUBELLA, LIVE ATTENUATED
J07BD54;N;SPALNI»KY-PÿÕUäNICE-ZARDÃNKY-PLAN… NEäTOVICE, éIV¡ ATENUOVAN¡ VAKCÕNA;MEASLES, COMBINATIONS WITH MUMPS, RUBELLA AND VARICELLA, LIVE ATTENUATED
J07BE;N;VAKCÕNY PROTI PÿÕUäNICÕM;MUMPS VACCINES
J07BE01;N;PÿÕUäNICE, éIV› ATENUOVAN› VIRUS;MUMPS, LIVE ATTENUATED
J07BF;N;VAKCÕNY PROTI POLIOMYELITIDÃ;POLIOMYELITIS VACCINES
J07BF01;N;POLIOMYELITIDA, PEROR¡LNÕ MONOVALENTNÕ VAKCÕNA, éIV› ATENUOVAN› VIRUS;POLIOMYELITIS ORAL, MONOVALENT, LIVE ATTENUATED
J07BF02;N;POLIOMYELITIDA, PEROR¡LNÕ TRIVALENTNÕ VAKCÕNA, éIV› ATENUOVAN› VIRUS;POLIOMYELITIS ORAL, TRIVALENT, LIVE ATTENUATED
J07BF03;N;POLIOMYELITIDA, TRIVALENTNÕ VAKCÕNA, INAKTIVOVAN› CEL› VIRUS;POLIOMYELITIS, TRIVALENT, INACTIVATED, WHOLE VIRUS
