KOD_LATKY;NAZEV_INN;NAZEV_EN;NAZEV;ZAV
20322;DOLUTEGRAVIRUM NATRICUM;DOLUTEGRAVIR SODIUM;SODN¡ SŸL DOLUTEGRAVIRU;
20329;RHODIOLAE ROSEAE RHIZOMAE ET RADICIS EXTRACTUM SICCUM;RHODIOLA ROSEA ROOT AND RHIZOME DRY EXTRACT;SUCH› EXTRAKT Z KOÿENE A ODDENKU ROZCHODNICE RŸéOV…;
20333;CABOZANTINIBI MALAS;CABOZANTINIB MALATE;KABOZANTINIB-MAL¡T;
20361;CANGRELORUM NATRICUM;CANGRELOR SODIUM;SODN¡ SŸL KANGRELORU;
20372;ACIDUM BEMPEDOICUM;BEMPEDOIC ACID;KYSELINA BEMPEDOOV¡;
20375;ALPELISIBUM;ALPELISIB;ALPELISIB;
20376;ANDEXANETUM ALFA;ANDEXANET ALFA;ANDEXANET ALFA;
20381;BIMEKIZUMABUM;BIMEKIZUMAB;BIMEKIZUMAB;
20391;ELBASVIRUM;ELBASVIR;ELBASVIR;
20401;GRAZOPREVIRUM;GRAZOPREVIR;GRAZOPREVIR;
20404;LEFAMULINUM;LEFAMULIN;LEFAMULIN;
20408;LUSPATERCEPTUM;LUSPATERCEPT;LUSPATERCEPT;
20410;OSILODROSTATUM;OSILODROSTAT;OSILODROSTAT;
20413;PRETOMANIDUM;PRETOMANID;PRETOMANID;
20418;SELINEXORUM;SELINEXOR;SELINEXOR;
20423;TALAZOPARIBUM;TALAZOPARIB;TALAZOPARIB;
20434;BEDAQUILINI FUMARAS;BEDAQUILINE FUMARATE;BEDACHILIN-FUMAR¡T;
20446;NINTEDANIBI ESILAS;NINTEDANIB ESILATE;NINTEDANIB-ESIL¡T;
20451;KALII BISMUTHI SUBCITRAS MONOHYDRICUS;BISMUTH SUBCITRATE POTASSIUM MONOHYDRATE;Z¡SADIT› CITR¡T DRASELNO-BISMUTIT› MONOHYDR¡T;
20463;UMECLIDINIUM;UMECLIDINIUM;UMEKLIDINIUM;
20469;NATRII S LACTAS;SODIUM (S)-LACTATE;NATRIUM S LAKT¡T;
20475;DAROLUTAMIDUM;DAROLUTAMIDE;DAROLUTAMID;
20478;SACCHAROSUM FERRICUM CUM AMYLO;FERRIC SUCROSE WITH STARCH;éELEZIT¡ SŸL SACHAROSY SE äKROBEM;
20482;PEMETREXEDUM DINATRICUM DIHEMIHYDRICUM;PEMETREXED DISODIUM 2.5-HYDRATE;DIHEMIHYDR¡T DISODN… SOLI PEMETREXEDU;
20497;CABOTEGRAVIRUM;CABOTEGRAVIR;KABOTEGRAVIR;
20498;CAPMATINIBUM;CAPMATINIB;KAPMATINIB;
20501;CERLIPONASUM ALFA;CERLIPONASE ALFA;CERLIPONASA ALFA;
20511;EFMOROCTOCOGUM ALFA;EFMOROCTOCOG ALFA;EFMOROKTOKOG ALFA;
20518;MALTOLUM FERRICUM;FERRIC MALTOL;éELEZIT¡ SŸL MALTOLU;
20525;GLASDEGIBUM;GLASDEGIB;GLASDEGIB;
20536;TUCATINIBUM;TUCATINIB;TUKATINIB;
20539;LONOCTOCOGUM ALFA;LONOCTOCOG ALFA;LONOKTOKOG ALFA;
20541;ACIDUM LACTICUM 100%;LACTIC ACID 100%;KYSELINA ML…»N¡ 100%;
20550;OLIPUDASUM ALFA;OLIPUDASE ALFA;OLIPUDASA ALFA;
20557;PEGVALIASUM;PEGVALIASE;PEGVALIASA;
20565;RIBOCICLIBUM;RIBOCICLIB;RIBOCIKLIB;
20568;RURIOCTOCOGUM ALFA PEGOLUM;RURIOCTOCOG ALFA PEGOL;RURIOKTOKOG ALFA PEGOL;
20572;TENOFOVIRUM ALAFENAMIDUM;TENOFOVIR ALAFENAMIDE;TENOFOVIR-ALAFENAMID;
20573;TEPOTINIBUM;TEPOTINIB;TEPOTINIB;
20580;VELPATASVIRUM;VELPATASVIR;VELPATASVIR;
20581;VENETOCLAXUM;VENETOCLAX;VENETOKLAX;
20601;ALLERGENI DERMATOPHAGOIDUM FARINAE EXTRACTUM;DERMATOPHAGOIDES FARINAE ALLERGEN EXTRACT;ALERGENOV› EXTRAKT Z DERMATOPHAGOIDES FARINAE;
20615;NALOXEGOLI OXALAS;NALOXEGOL OXALATE;NALOXEGOL-OXAL¡T;
20616;SAFINAMIDI MESILAS;SAFINAMIDE MESILATE;SAFINAMID-MESIL¡T;
20621;ANAGRELIDI HYDROCHLORIDUM MONOHYDRICUM;ANAGRELIDE HYDROCHLORIDE MONOHYDRATE;MONOHYDR¡T ANAGRELID-HYDROCHLORIDU;
20622;DALBAVANCINI HYDROCHLORIDUM;DALBAVANCIN HYDROCHLORIDE;DALBAVANCIN-HYDROCHLORID;
20623;IMMUNOSERUM CONTRA VENENA SERPENTUM CRYODESICCATUM POLYVALENS I;FREEZE-DRIED POLYVALENT SNAKE VENOM ANTISERUM I;LYOFILIZOVAN… POLYVALENTNÕ IMUNOS…RUM PROTI HADÕM JEDŸM I;
20624;IMMUNOSERUM CONTRA VENENA SERPENTUM CRYODESICCATUM POLYVALENS II;FREEZE-DRIED POLYVALENT SNAKE VENOM ANTISERUM II;LYOFILIZOVAN… POLYVALENTNÕ IMUNOS…RUM PROTI HADÕM JEDŸM II;
20627;PASIREOTIDI EMBONAS;PASIREOTIDE EMBONATE;PASIREOTID-EMBON¡T;
20632;TEDIZOLIDI PHOSPHAS;TEDIZOLID PHOSPHATE;TEDIZOLID-FOSF¡T;
20633;TEDIZOLIDI DINATRII PHOSPHAS;DISODIUM TEDIZOLID PHOSPHATE;NATRIUM-TEDIZOLID-FOSF¡T;
20634;ORITAVANCINI DIPHOSPHAS;ORITAVANCIN DIPHOSPHATE;ORITAVANCIN-DIFOSF¡T;
20635;ELIGLUSTATI TARTRAS;ELIGLUSTAT TARTRATE;ELIGLUSTAT-TARTAR¡T;
20639;SUSOCTOCOGUM ALFA;SUSOCTOCOG ALFA;SUSOKTOKOG ALFA;
20643;TENOFOVIRI DISOPROXILI PHOSPHAS;TENOFOVIR DISOPROXIL PHOSPHATE;TENOFOVIR-DISOPROXIL-FOSF¡T;
20644;RASAGILINI TARTRAS;RASAGILINE TARTRATE;RASAGILIN-TARTAR¡T;
20646;CELLULAE EX EPITHELII CORNEALIS HUMANAE VITALIS;AUTOLOGOUS HUMAN CORNEAL EPITHELIAL CELLS;AUTOLOGNÕ BU“KY Z LIDSK…HO ROHOVKOV…HO EPITELU;
20648;TENOFOVIRI DISOPROXILI SUCCINAS;TENOFOVIR DISOPROXIL SUCCINATE;TENOFOVIR-DISOPROXIL-SUCCIN¡T;
20651;ABEMACICLIBUM;ABEMACICLIB;ABEMACIKLIB;
20654;ATEZOLIZUMABUM;ATEZOLIZUMAB;ATEZOLIZUMAB;
20659;BROLUCIZUMABUM;BROLUCIZUMAB;BROLUCIZUMAB;
20664;DEUTETRABENAZINUM;DEUTETRABENAZINE;DEUTETRABENAZIN;
20665;DURVALUMABUM;DURVALUMAB;DURVALUMAB;
20666;ELAFIBRANORUM;ELAFIBRANOR;ELAFIBRANOR;
20672;EPTACOGUM BETA (ACTIVATUM);EPTACOG BETA (ACTIVATED);EPTAKOG BETA (AKTIVOVAN›);
20674;EVINACUMABUM;EVINACUMAB;EVINAKUMAB;
20676;FOLLITROPINUM DELTA;FOLLITROPIN DELTA;FOLITROPIN DELTA;
20678;GILTERITINIBUM;GILTERITINIB;GILTERITINIB;
20684;ISATUXIMABUM;ISATUXIMAB;IZATUXIMAB;
20690;MARALIXIBATI CHLORIDUM;MARALIXIBAT CHLORIDE;MARALIXIB¡T-CHLORID;
20692;OSIMERTINIBUM;OSIMERTINIB;OSIMERTINIB;
20697;NEMOLIZUMABUM;NEMOLIZUMAB;NEMOLIZUMAB;
20698;NUSINERSENUM;NUSINERSEN;NUSINERSEN;
20700;OZANIMODUM;OZANIMOD;OZANIMOD;
20701;SITAGLIPTINI MALAS;SITAGLIPTIN MALATE;SITAGLIPTIN-MAL¡T;
20708;LENVATINIBI MESILAS;LENVATINIB MESILATE;LENVATINIB-MESIL¡T;
20721;RELEBACTAMUM;RELEBACTAM;RELEBAKTAM;
20726;SETMELANOTIDUM;SETMELANOTIDE;SETMELANOTID;
20728;SOMAPACITANUM;SOMAPACITAN;SOMAPACITAN;
20733;TAZEMETOSTATUM;TAZEMETOSTAT;TAZEMETOSTAT;
20741;VOSORITIDUM;VOSORITIDE;VOSORITID;
20749;LUTETII (177LU) CHLORIDUM;LUTETIUM (177 LU) CHLORIDE;CHLORID LUTECIT›-(177LU);
20750;LISDEXAMFETAMINI DIMESILAS;LISDEXAMFETAMINE DIMESILATE;LISDEXAMFETAMIN-DIMESIL¡T;5
20757;KALII CLAVULANAS ET SILICA COLLOIDALIS ANHYDRICA;POTASSIUM CLAVULANATE AND COLLOIDAL SILICONE DIOXIDE;KALIUM-KLAVULAN¡T A BEZVOD› KOLOIDNÕ OXID KÿEMI»IT›;
20760;EDOXABANI TOSILAS;EDOXABAN TOSILATE;EDOXABAN-TOSIL¡T;
20761;PAPILLOMAVIRI HUMANI TYPI 31 PROTEINUM L1;HUMAN PAPILLOMA VIRUS TYPE 31 L1 PROTEIN;L1 PROTEIN LIDSK…HO PAPILOMAVIRU TYPU 31;
20762;PAPILLOMAVIRI HUMANI TYPI 33 PROTEINUM L1;HUMAN PAPILLOMA VIRUS TYPE 33 L1 PROTEIN;L1 PROTEIN LIDSK…HO PAPILOMAVIRU TYPU 33;
20763;PAPILLOMAVIRI HUMANI TYPI 45 PROTEINUM L1;HUMAN PAPILLOMA VIRUS TYPE 45 L1 PROTEIN;L1 PROTEIN LIDSK…HO PAPILOMAVIRU TYPU 45;
20764;PAPILLOMAVIRI HUMANI TYPI 52 PROTEINUM L1;HUMAN PAPILLOMA VIRUS TYPE 52 L1 PROTEIN;L1 PROTEIN LIDSK…HO PAPILOMAVIRU TYPU 52;
20768;PAPILLOMAVIRI HUMANI TYPI 58 PROTEINUM L1;HUMAN PAPILLOMA VIRUS TYPE 58 L1 PROTEIN;L1 PROTEIN LIDSK…HO PAPILOMAVIRU TYPU 58;
20770;INFLUENZAE VIRUS B/PHUKET (FRAGMENTUM);INFLUENZA VIRUS B/PHUKET (SPLIT);CHÿIPKOV› VIRUS B/PHUKET (äTÃPEN›);
20773;ACALABRUTINIBUM;ACALABRUTINIB;AKALABRUTINIB;
20779;APALUTAMIDUM;APALUTAMIDE;APALUTAMID;
20782;AVELUMABUM;AVELUMAB;AVELUMAB;
20785;BICTEGRAVIRUM;BICTEGRAVIR;BIKTEGRAVIR;
20787;BRIGATINIBUM;BRIGATINIB;BRIGATINIB;
20789;CENOBAMATUM;CENOBAMATE;CENOBAM¡T;
20795;DIFELIKEFALINUM;DIFELIKEFALIN;DIFELIKEFALIN;
20796;DINUTUXIMABUM BETA;DINUTUXIMAB BETA;DINUTUXIMAB BETA;
20800;EMICIZUMABUM;EMICIZUMAB;EMICIZUMAB;
20803;ENTRECTINIBUM;ENTRECTINIB;ENTREKTINIB;
20804;ERDAFITINIBUM;ERDAFITINIB;ERDAFITINIB;
20811;FOSNETUPITANTUM;FOSNETUPITANT;FOSNETUPITANT;
20815;INEBILIZUMABUM;INEBILIZUMAB;INEBILIZUMAB;
20825;MIRVETUXIMABUM SORAVTANSINUM;MIRVETUXIMAB SORAVTANSINE;MIRVETUXIMAB SORAVTANSIN;
20832;NETARSUDILUM;NETARSUDIL;NETARSUDIL;
20834;OMAVELOXOLONUM;OMAVELOXOLONE;OMAVELOXOLON;
20844;RISANKIZUMABUM;RISANKIZUMAB;RISANKIZUMAB;
20849;SACITUZUMABUM GOVITECANUM;SACITUZUMAB GOVITECAN;SACITUZUMAB GOVITEKAN;
20853;SPARSENTANUM;SPARSENTAN;SPARSENTAN;
20857;TEZEPELUMABUM;TEZEPELUMAB;TEZEPELUMAB;
20859;TISOTUMABUM VEDOTINUM;TISOTUMAB VEDOTIN;TISOTUMAB VEDOTIN;
20861;VABORBACTAMUM;VABORBACTAM;VABORBAKTAM;
20863;VELMANASUM ALFA;VELMANASE ALFA;VELMANASA ALFA;
20866;VOLANESORSENUM;VOLANESORSEN;VOLANESORSEN;
20868;VOXILAPREVIRUM;VOXILAPREVIR;VOXILAPREVIR;
20877;ISAVUCONAZONII SULFAS;ISAVUCONAZONIUM SULFATE;ISAVUKONAZONIUM-SULF¡T;
20879;CEFTOLOZANI SULFAS;CEFTOLOZANE SULFATE;CEFTOLOZAN-SULF¡T;
20880;FERRI CITRATIS COMPLEXUS COORDINATIVUS;FERRIC CITRATE COORDINATION COMPLEX;KOORDINA»NÕ KOMPLEX FERRUM(III)-CITR¡TU;
20882;FLUOROMISONIDAZOLUM (18F);FLUOROMISONIDAZOLE (18F);FLUORMISONIDAZOL-(18F);
20883;BENDAMUSTINI HYDROCHLORIDI MONOHYDRICUM;BENDAMUSTINE HYDROCHLORIDE MONOHYDRATE;MONOHYDR¡T BENDAMUSTIN-HYDROCHLORIDU;
20884;MANNITOLI ESTER BORTEZOMIBI;BORTEZOMIB MANNITOL ESTER;MANNITOLESTER BORTEZOMIBU;
20885;IMMUNOGLOBULINUM HUMANUM ANTI-D AD USUM INTRAVENOSUM;HUMAN ANTI-D IMMUNOGLOBULIN FOR INTRAVENOUS ADMINISTRATION;LIDSK› IMUNOGLOBULIN ANTI-D PRO INTRAVEN”ZNÕ POD¡NÕ;
20887;SONIDEGIBI PHOSPHAS;SONIDEGIB PHOSPHATE;SONIDEGIB-FOSF¡T;
20888;TOREMIFENI CITRAS;TOREMIFENE CITRATE;TOREMIFEN-CITR¡T;
20889;GADOTERAS MEGLUMINUM;GADOTERATE MEGLUMINE;GADOTER¡T-MEGLUMIN;
20890;GLYCYLTYROSINUM;GLYCYL TYROSINE;GLYCYLTYROSIN;
20893;COBIMETINIBI FUMARAS;COBIMETINIB FUMARATE;KOBIMETINIB-FUMAR¡T;
20924;IVABRADINI HYDROBROMICUM;IVABRADINE HYDROBROMIDE;IVABRADIN-HYDROBROMID;
20935;PITOLISANTI HYDROCHLORIDUM;PITOLISANT HYDROCHLORIDE;PITOLISANT-HYDROCHLORID;
20936;TENOFOVIRI ALAFENAMIDI FUMARAS;TENOFOVIR ALAFENAMIDE FUMARATE;TENOFOVIR-ALAFENAMID-FUMAR¡T;
20937;SACUBITRILI ET VALSARTANI NATRII COMPLEXUS;SACUBITRIL VALSARTAN SODIUM SALT COMPLEX;SODN¡ SŸL KOMPLEXU SAKUBITRILU A VALSARTANU;
20938;BETULAE CORTICIS EXTRACTUM SICCUM RAFFINATUM;BIRCH BARK DRY EXTRACT, REFINED;SUCH› »IäTÃN› EXTRAKT Z BÿEZOV… KŸRY;
20948;OSIMERTINIBI MESILAS;OSIMERTINIB MESILATE;OSIMERTINIB-MESIL¡T;
20952;HAEMOPHILI INFLUENZAE TYPI B POLYSACCHARIDUM CONIUGATUM CUM MENINGOCOCCI PROTEINO;HAEMOPHILUS INFLUENZAE TYPE B POLYSACCHARIDE CONJUGATED TO MENINGOCOCCAL PROTEIN;POLYSACHARID HAEMOPHILUS INFLUENZAE TYPU B KONJUGOVAN› S MENINGOKOKOV›M PROTEINEM;
20955;IMMUNOGLOBULINUM HUMANUM NORMALE AD USUM SUBCUTANEUM;HUMAN NORMAL IMMUNOGLOBULIN FOR SUBCUTANEOUS ADMINISTRATION;NORM¡LNÕ LIDSK› IMUNOGLOBULIN PRO SUBKUT¡NNÕ POD¡NÕ;
20962;AVACOPANUM;AVACOPAN;AVAKOPAN;
20969;CEFIDEROCOLUM;CEFIDEROCOL;CEFIDEROKOL;
20985;FLORTAUCIPIRUM (18F);FLORTAUCIPIR (18F);FLORTAUCIPIR-(18F);
20987;GALCANEZUMABUM;GALCANEZUMAB;GALKANEZUMAB;
20989;GIVOSIRANUM;GIVOSIRAN;GIVOSIRAN;
20990;GLECAPREVIRUM;GLECAPREVIR;GLEKAPREVIR;
20992;INCLISIRANUM;INCLISIRAN;INKLISIRAN;
20994;IVOSIDENIBUM;IVOSIDENIB;IVOSIDENIB;
20995;LANADELUMABUM;LANADELUMAB;LANADELUMAB;
21000;LENIOLISIBUM;LENIOLISIB;LENIOLISIB;
21002;LORLATINIBUM;LORLATINIB;LORLATINIB;
21023;PIBRENTASVIRUM;PIBRENTASVIR;PIBRENTASVIR;
21035;SATRALIZUMABUM;SATRALIZUMAB;SATRALIZUMAB;
21044;TEZACAFTORUM;TEZACAFTOR;TEZAKAFTOR;
21046;VADADUSTATUM;VADADUSTAT;VADADUSTAT;
21055;POLLINIS ALLERGENI EXTRACTUM (BETULA VERRUCOSA);BIRCH POLLEN ALLERGEN EXTRACT;ALERGENOV› EXTRAKT Z PYLU BÿÕZY;
21059;NEISSERIAE MENINGITIDIS CLASSIS B NHBA PROTEINUM FUSIUM;NEISSERIA MENINGITIDIS GROUP B NHBA FUSION PROTEIN;NHBA F⁄ZNÕ PROTEIN NEISSERIA MENINGITIDIS SKUPINY B;
21060;NEISSERIAE MENINGITIDIS CLASSIS B NADA PROTEINUM;NEISSERIA MENINGITIDIS GROUP B NADA PROTEIN;NADA PROTEIN NEISSERIA MENINGITIDIS SKUPINY B;
21061;NEISSERIAE MENINGITIDIS CLASSIS B FHBP PROTEINUM FUSIUM;NEISSERIA MENINGITIDIS GROUP B FHBP FUSION PROTEIN;FHBP F⁄ZNÕ PROTEIN NEISSERIA MENINGITIDIS SKUPINY B;
21062;NEISSERIAE MENINGITIDIS CLASSIS B (STIRPE NZ98/254) MEMBRANAE EXTERNAE VESICULAE;OUTER MEMBRANE VESICLES FROM NEISSERIA MENINGITIDIS GROUP B (STRAIN NZ98/254);VESIKULY VNÃJäÕ MEMBR¡NY NEISSERIA MENINGITIDIS SKUPINY B (KMEN NZ98/254);
21063;DIOSMINUM MICRONISATUM;MICRONIZED DIOSMIN;MIKRONIZOVAN› DIOSMIN;
21065;TIPIRACILI HYDROCHLORIDUM;TIPIRACIL HYDROCHLORIDE;TIPIRACIL-HYDROCHLORID;
21067;MELPHALANUM HYDROCHLORIDUM;MELPHALAN HYDROCHLORIDE;MELFALAN-HYDROCHLORID;
21074;MIGALASTATI HYDROCHLORIDUM;MIGALASTAT HYDROCHLORIDE;MIGALASTAT-HYDROCHLORID;
21075;CELLULAE CD34+ TRANSDUCTIONAE (ADA CDNA ) (STRIMVELIS);TRANSDUCED CD34+ CELLS (ADA CDNA) (STRIMVELIS);TRANSDUKOVAN… BU“KY CD34+ (ADA CDNA) (STRIMVELIS);
21080;METHIONINUM ([11C]METHYL);METHIONINE ([11C]METHYL);METHIONIN-([11C]METHYL);
21084;AVIBACTAMUM NATRICUM;AVIBACTAM SODIUM;SODN¡ SŸL AVIBAKTAMU;
21087;FEBUXOSTATUM HEMIHYDRICUM;FEBUXOSTAT HEMIHYDRATE;HEMIHYDR¡T FEBUXOSTATU;
21090;ZANAMIVIRUM HYDRICUM;ZANAMIVIR HYDRATE;HYDR¡T ZANAMIVIRU;
21098;IXAZOMIBI CITRAS;IXAZOMIB CITRATE;IXAZOMIB-CITR¡T;
21113;ASCIMINIBUM;ASCIMINIB;ASCIMINIB;
21120;BUROSUMABUM;BUROSUMAB;BUROSUMAB;
21122;CASIMERSENUM;CASIMERSEN;KASIMERSEN;
21123;CENEGERMINUM;CENEGERMIN;CENEGERMIN;
21127;IRINOTECANI SUCROSOFATUM;IRINOTECAN SUCROSOFATE;IRINOTEKAN-SUKROSOF¡T;
21132;DIROXIMELI FUMARAS;DIROXIMEL FUMARATE;DIROXIMEL-FUMAR¡T;
21133;ELACESTRANTUM;ELACESTRANT;ELACESTRANT;
21134;ELAPEGADEMASUM;ELAPEGADEMASE;ELAPEGADEMASA;
21142;EPTINEZUMABUM;EPTINEZUMAB;EPTINEZUMAB;
21143;ERENUMABUM;ERENUMAB;ERENUMAB;
21146;FEZOLINETANTUM;FEZOLINETANT;FEZOLINETANT;
21149;FOSTEMSAVIRUM;FOSTEMSAVIR;FOSTEMSAVIR;
21150;FREMANEZUMABUM;FREMANEZUMAB;FREMANEZUMAB;
21151;GEMTUZUMABUM OZOGAMICINUM;GEMTUZUMAB OZOGAMICIN;GEMTUZUMAB OZOGAMICIN;
21152;GOLODIRSENUM;GOLODIRSEN;GOLODIRSEN;
21156;INOTERSENUM;INOTERSEN;INOTERSEN;
21158;LAROTRECTINIBUM;LAROTRECTINIB;LAROTREKTINIB;
21171;NIROGACESTATUM;NIROGACESTAT;NIROGACESTAT;
21176;PEGUNIGALSIDASUM ALFA;PEGUNIGALSIDASE ALFA;PEGUNIGALSIDASA ALFA;
21189;ROZANOLIXIZUMABUM;ROZANOLIXIZUMAB;ROZANOLIXIZUMAB;
21192;SELADELPARUM;SELADELPAR;SELADELPAR;
21196;SOMATROGONUM;SOMATROGON;SOMATROGON;
21209;UPADACITINIBUM;UPADACITINIB;UPADACITINIB;
21213;VAMOROLONUM;VAMOROLONE;VAMOROLON;
21216;VESTRONIDASUM ALFA;VESTRONIDASE ALFA;VESTRONIDASA ALFA;
21217;VORETIGENUM NEPARVOVECUM;VORETIGENE NEPARVOVEC;VORETIGEN NEPARVOVEK;
21241;ETELCALCETIDI HYDROCHLORIDUM;ETELCALCETIDE HYDROCHLORIDE;ETELKALCETID-HYDROCHLORID;
21246;TENOFOVIRI DISOPROXILI MALEAS;TENOFOVIR DISOPROXIL MALEATE;TENOFOVIR-DISOPROXIL-MALEIN¡T;
21258;PELARGONII SIDOIDIS RADICIS EXTRACTUM FLUIDUM SICCUM;PELARGONIUM SIDOIDES ROOT LIQUID DRY EXTRACT;SUCH› TEKUT› EXTRAKT Z KOÿENE PELARGONIUM SIDOIDES;
21261;GALLII (68GA) CHLORIDUM;GALLIUM (68GA) CHLORIDE;CHLORID GALLIT›-(68GA);
21267;GADOBUTROLUM MONOHYDRICUM;GADOBUTROL MONOHYDRATE;MONOHYDR¡T GADOBUTROLU;
21295;ALECTINIBI HYDROCHLORIDUM;ALECTINIB HYDROCHLORIDE;ALEKTINIB-HYDROCHLORID;
21297;INFLUENZAE VIRUS B/PHUKET;INFLUENZA VIRUS B/PHUKET;CHÿIPKOV› VIRUS B/PHUKET;
21302;APROCITENTANUM;APROCITENTAN;APROCITENTAN;
21305;ATOGEPANTUM;ATOGEPANT;ATOGEPANT;
21312;BALOXAVIRUM MARBOXILUM;BALOXAVIR MARBOXIL;BALOXAVIR MARBOXIL;
21323;DASIGLUCAGONUM;DASIGLUCAGON;DASIGLUKAGON;
21332;EFGARTIGIMODUM ALFA;EFGARTIGIMOD ALFA;EFGARTIGIMOD ALFA;
21336;ESTETROLUM;ESTETROL;ESTETROL;
21338;ETRASIMODUM;ETRASIMOD;ETRASIMOD;
21344;FRUQUINTINIBUM;FRUQUINTINIB;FRUCHINTINIB;
21365;MAVACAMTENUM;MAVACAMTEN;MAVAKAMTEN;
21367;MITAPIVATUM;MITAPIVAT;MITAPIV¡T;
21382;REMDESIVIRUM;REMDESIVIR;REMDESIVIR;
21388;SOLRIAMFETOLUM;SOLRIAMFETOL;SOLRIAMFETOL;
21398;TRASTUZUMABUM DERUXTECANUM;TRASTUZUMAB DERUXTECAN;TRASTUZUMAB DERUXTEKAN;
21402;VALOCTOCOGENUM ROXAPARVOVECUM;VALOCTOCOGENE ROXAPARVOVEC;VALOKTOKOGEN ROXAPARVOVEK;
21405;VOXELOTORUM;VOXELOTOR;VOXELOTOR;
21413;SYMPHYTI X UPLANDICI NYMAN HERBAE RECENTIS SUCCUS ET EXTRACTUM;FRESH SYMPHYTUM X UPLANDICUM NYMAN HERB JUICE AND EXTRACT;äç¡VA A EXTRAKT Z »ERSTV… NATI KOSTIVALU CIZÕHO;
21414;ETHYLIS TELOTRISTAS;TELOTRISTAT ETHYL;ETHYL-TELOTRIST¡T;
21415;NATRII ZIRCONII CYCLOSILICAS;SODIUM ZIRCONIUM CYCLOSILICATE;CYKLICK› KÿEMI»ITAN SODNO-ZIRKONI»IT›;
21421;AGOMELATINUM ET ACIDUM CITRICUM;AGOMELATINE CITRIC ACID;AGOMELATIN S KYSELINOU CITRONOVOU;
21429;LUTETIUM (177LU) OXODOTREOTIDUM;LUTETIUM (177LU) OXODOTREOTIDE;LUTECIUM-(177LU)-OXODOTREOTID;
21430;GERMANII (68GE) CHLORIDUM;GERMANIUM (68GE) CHLORIDE;CHLORID GERMANI»IT›-(68GE);
21431;NEISSERIAE MENINGITIDIS CLASSIS B FHBP PROTEINUM SUBFAMILIA A;NEISSERIA MENINGITIDIS GROUP B FHBP PROTEIN SUBFAMILY A;FHBP PROTEIN POD»ELEœ A NEISSERIA MENINGITIDIS SKUPINY B;
21432;NEISSERIAE MENINGITIDIS CLASSIS B FHBP PROTEINUM SUBFAMILIA B;NEISSERIA MENINGITIDIS GROUP B FHBP PROTEIN SUBFAMILY B;FHBP PROTEIN POD»ELEœ B NEISSERIA MENINGITIDIS SKUPINY B;
21437;TOFACITINIBI CITRAS;TOFACITINIB CITRATE;TOFACITINIB-CITR¡T;
21444;NUSINERSENUM NATRICUM;NUSINERSEN SODIUM;SODN¡ SŸL NUSINERSENU;
21445;NIRAPARIBI TOSILAS MONOHYDRICUM;NIRAPARIB TOSILATE MONOHYDRATE;MONOHYDR¡T NIRAPARIB-TOSIL¡TU;
21447;TRIENTINI TETRAHYDROCHLORIDUM;TRIENTINE TETRAHYDROCHLORIDE;TRIENTIN-TETRAHYDROCHLORID;
21450;PATIROMERUM;PATIROMER;PATIROMER;
21451;CHONDROCYTUM HUMANUM AUTOLOGUM SPHAEROIDEUM INTRA MATRICEM;SPHEROIDS OF HUMAN AUTOLOGOUS MATRIX-ASSOCIATED CHONDROCYTES;SF…ROIDY LIDSK›CH AUTOLOGNÕCH CHONDROCYTŸ V MATE»N…M M…DIU;
21452;NERATINIBI MALEAS;NERATINIB MALEATE;NERATINIB-MALEIN¡T;
21454;CARIPRAZINI HYDROCHLORIDUM;CARIPRAZINE HYDROCHLORIDE;KARIPRAZIN-HYDROCHLORID;
21456;PATIROMERUM SORBITOLUM CALCIUM;PATIROMER SORBITEX CALCIUM;V¡PENAT¡ SŸL PATIROMERU SE SORBITOLEM;
21458;LENALIDOMIDI HYDROCHLORIDUM MONOHYDRICUM;LENALIDOMIDE HYDROCHLORIDE MONOHYDRATE;MONOHYDR¡T LENALIDOMID-HYDROCHLORIDU;
21459;RIBOCICLIBI SUCCINAS;RIBOCICLIB SUCCINATE;RIBOCIKLIB-SUKCIN¡T;
21460;TIVOZANIBI HYDROCHLORIDUM MONOHYDRICUM;TIVOZANIB HYDROCHLORIDE MONOHYDRATE;MONOHYDR¡T TIVOZANIB-HYDROCHLORIDU;
21462;RUCAPARIBI CAMSILAS;RUCAPARIB CAMSYLATE;RUKAPARIB-KAMSYL¡T;
21465;TELOTRISTATI ETIPRAS;TELOTRISTAT ETIPRATE;TELOTRISTAT-ETIPR¡T;
21478;AVALGLUCOSIDASUM ALFA;AVALGLUCOSIDASE ALFA;AVALGLUKOSIDASA ALFA;
21479;AVAPRITINIBUM;AVAPRITINIB;AVAPRITINIB;
21480;AXICABTAGENUM CILOLEUCELUM;AXICABTAGENE CILOLEUCEL;AXIKABTAGEN CILOLEUCEL;
21491;CAPIVASERTIBUM;CAPIVASERTIB;KAPIVASERTIB;
21499;DELGOCITINIBUM;DELGOCITINIB;DELGOCITINIB;
21521;IMLIFIDASUM;IMLIFIDASE;IMLIFIDASA;
21526;LAZERTINIBUM;LAZERTINIB;LAZERTINIB;
21529;LONAPEGSOMATROPINUM;LONAPEGSOMATROPIN;LONAPEGSOMATROPIN;
21561;LONCASTUXIMABUM TESIRINUM;LONCASTUXIMAB TESIRINE;LONKASTUXIMAB TESIRIN;
21563;LUMASIRANUM;LUMASIRAN;LUMASIRAN;
