KOD_LATKY;NAZEV_INN;NAZEV_EN;NAZEV;ZAV
10211;TRIPTORELINI ACETAS;TRIPTORELIN ACETATE;TRIPTORELIN-ACET¡T;
10233;MATRICARIAE EXTRACTUM FLUIDUM NORMATUM;MATRICARIA LIQUID EXTRACT, STANDARDISED;TEKUT› STANDARDIZOVAN› HEÿM¡NKOV› EXTRAKT;
10236;EPOETINUM ALFA;EPOETIN ALFA;EPOETIN ALFA;
10237;EPOETINUM BETA;EPOETIN BETA;EPOETIN BETA;
10263;AZITHROMYCINUM;AZITHROMYCIN;AZITHROMYCIN;
10264;AZITHROMYCINUM DIHYDRICUM;AZITHROMYCIN DIHYDRATE;DIHYDR¡T AZITHROMYCINU;
10271;ZINCI TRINATRII PENTETAS;ZINC TRISODIUM PENTETATE;ZINKUM-TRINATRIUM-PENTET¡T;
10277;COBALTOSI CHLORIDUM;COBALT CHLORIDE;CHLORID KOBALTNAT›;
10321;CUPRI TETRAMIBI TETRAFLUOROBORAS;COPPER TETRAMIBI TETRAFLUOROBORATE;TETRAFLUOROBORITAN TETRAMIBIMÃœN›;
10334;EXAMETAZIMUM;EXAMETAZIME;EXAMETAZIM;
10335;NICOTINI RESINAS;NICOTINE RESINATE;NIKOTIN-RESIN¡T;
10379;CABERGOLINUM;CABERGOLINE;KABERGOLIN;
10383;AMOROLFINUM;AMOROLFINE;AMOROLFIN;
10413;DEXTROMETHORPHANI HYDROBROMIDUM;DEXTROMETHORPHAN HYDROBROMIDE;DEXTROMETHORFAN-HYDROBROMID;
10414;IOMEPROLUM;IOMEPROL;JOMEPROL;
10417;ONDANSETRONUM;ONDANSETRON;ONDANSETRON;
10418;ONDANSETRONI HYDROCHLORIDUM DIHYDRICUM;ONDANSETRON HYDROCHLORIDE DIHYDRATE;DIHYDR¡T ONDANSETRON-HYDROCHLORIDU;
10425;LORATADINUM;LORATADINE;LORATADIN;
10459;RALOXIFENUM;RALOXIFENE;RALOXIFEN;
10461;DINATRII PAMIDRONAS;DISODIUM PAMIDRONATE;DINATRIUM-PAMIDRON¡T;
10462;ACIDUM AZELAICUM;AZELAIC ACID;KYSELINA AZELAOV¡;
10474;BROMFENACUM;BROMFENAC;BROMFENAK;
10492;EPINASTINUM;EPINASTINE;EPINASTIN;
10498;GOSERELINUM;GOSERELIN;GOSERELIN;
10536;PRAVASTATINUM NATRICUM;PRAVASTATIN SODIUM;SODN¡ SŸL PRAVASTATINU;
10561;ERDOSTEINUM;ERDOSTEINE;ERDOSTEIN;
10569;GANCICLOVIRUM;GANCICLOVIR;GANCIKLOVIR;
10571;IOVERSOLUM;IOVERSOL;JOVERSOL;
10581;MODAFINILUM;MODAFINIL;MODAFINIL;
10583;NEBIVOLOLUM;NEBIVOLOL;NEBIVOLOL;
10588;OXALIPLATINUM;OXALIPLATIN;OXALIPLATINA;
10609;TEMOZOLOMIDUM;TEMOZOLOMIDE;TEMOZOLOMID;
10619;GANCICLOVIRUM NATRICUM;GANCICLOVIR SODIUM;SODN¡ SŸL GANCIKLOVIRU;
10626;BETIATIDUM;BETIATIDE;BETIATID;
10628;CITALOPRAMI HYDROBROMIDUM;CITALOPRAM HYDROBROMIDE;CITALOPRAM-HYDROBROMID;
